Anio,NroMes,ubigeo,Departamento,Provincia,Distrito,Etapa,Metodo,Actividad,Insumo
2017,1,21702,ANCASH,RECUAY,CATAC,18 a - 29 a,YUZPE,1,2
2017,1,21801,ANCASH,SANTA,CHIMBOTE,12 a - 17 a,YUZPE,2,3
2017,1,21809,ANCASH,SANTA,NUEVO CHIMBOTE,18 a - 29 a,YUZPE,2,3
2017,1,21809,ANCASH,SANTA,NUEVO CHIMBOTE,30 a - 59 a,YUZPE,2,2
2017,1,30101,APURIMAC,ABANCAY,ABANCAY,18 a - 29 a,PROGESTAGENO,1,2
2017,1,30101,APURIMAC,ABANCAY,ABANCAY,30 a - 59 a,YUZPE,3,4
2017,1,30104,APURIMAC,ABANCAY,CURAHUASI,18 a - 29 a,YUZPE,1,2
2017,1,30109,APURIMAC,ABANCAY,TAMBURCO,18 a - 29 a,YUZPE,1,1
2017,1,30201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,18 a - 29 a,PROGESTAGENO,1,1
2017,1,30201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,30 a - 59 a,PROGESTAGENO,2,2
2017,1,30202,APURIMAC,ANDAHUAYLAS,ANDARAPA,12 a - 17 a,PROGESTAGENO,1,1
2017,1,30204,APURIMAC,ANDAHUAYLAS,HUANCARAMA,18 a - 29 a,YUZPE,1,2
2017,1,30207,APURIMAC,ANDAHUAYLAS,KISHUARA,18 a - 29 a,YUZPE,1,2
2017,1,30208,APURIMAC,ANDAHUAYLAS,PACOBAMBA,18 a - 29 a,YUZPE,2,4
2017,1,30208,APURIMAC,ANDAHUAYLAS,PACOBAMBA,30 a - 59 a,YUZPE,1,2
2017,1,30217,APURIMAC,ANDAHUAYLAS,TUMAY HUARACA,12 a - 17 a,YUZPE,1,1
2017,1,30301,APURIMAC,ANTABAMBA,ANTABAMBA,30 a - 59 a,PROGESTAGENO,1,1
2017,1,30307,APURIMAC,ANTABAMBA,SABAINO,30 a - 59 a,YUZPE,1,1
